id,default_code,name,description_purchase,description_sale,purchase_ok,sale_ok,type,track_service,invoice_policy,route_ids,chemistry,list_price,taxes_id/id,standard_price,sale_delay,warranty,uom_id/id,categ_id/id,uom_po_id/id,company_id/id
__setup__.product_1114,1114,Contrôle microfuite,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,15,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1115,1115,Contrôle serrage/déserrage vis,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,30,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1116,1116,Contrôle tenue pieds cadrans,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,30,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1117,1117,Vieillissement à l'Ozone,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,880,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1118,1118,Essai corrosion brouillard salin,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,60,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1119,1119,Essai Chaleur Humide,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,28,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1120,1120,Corrosion diverses,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,90,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1121,1121,Essai corrosion eau de piscine,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,30,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1122,1122,Essai corrosion fleur de soufre,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,150,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1123,1123,Essai corrosion sueur buvard ou coton,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,25,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1124,1124,Essai corrosion sueur pulvérisée,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,60,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1125,1125,Corro. thioacétamide,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,65,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1126,1126,Essai vieillissement transport,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,100,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1127,1127,Couple appliquée 10 Nmm,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1128,1128,Couple appliquée 15 Nmm,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1129,1129,Couple torsion : 30 Ncm,,,,TRUE,Consumable,,,,,1,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1130,1130,Couple torsion : 50 Ncm,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1131,1131,Couronne usure rotation / tirage,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,170,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1102,1102,Composés fluorés en restriction,,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,230,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1134,1134,Crème pour les mains,,,,TRUE,Consumable,,,,,25,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1135,1135,Crème solaire,,,,TRUE,Consumable,,,,,25,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1136,1136,Cu,,,,TRUE,Consumable,,,,,20,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1137,1137,Cuivrage,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
