city;country_id/id;id;is_company;customer;lang;lastname;street;street2;tz;zip
PARIS;base.fr;scenario.user_center_paris14_res_partner;False;False;fr_FR;PARIS 14 DENFERT ROCHEREAU;161 avenue du Maine;;Europe/Paris;75014
VERTOU;base.fr;scenario.company_agencyfr_center124_res_partner;True;True;fr_FR;NANTES-VERTOU;522 route de Clisson;;Europe/Paris;44120
VERTOU;base.fr;scenario.user_center_nantes-vertou_res_partner;False;False;fr_FR;NANTES-VERTOU;522 route de Clisson;;Europe/Paris;44120
;base.fr;scenario.company_agencyfr_center125_res_partner;True;True;;NANTES NORD;;;Europe/Paris;
ROANNE;base.fr;scenario.company_agencyfr_center127_res_partner;True;True;fr_FR;ROANNE;18 rue Maréchal Foch;;Europe/Paris;42300
ROANNE;base.fr;scenario.user_center_roanne_res_partner;False;False;fr_FR;ROANNE;18 rue Maréchal Foch;;Europe/Paris;42300
LEVALLOIS PERRET;base.fr;scenario.company_agencyfr_center128_res_partner;True;True;fr_FR;LEVALLOIS PERRET;20 rue Camille PELLETAN;;Europe/Paris;92300
LEVALLOIS PERRET;base.fr;scenario.user_center_levallois_res_partner;False;False;fr_FR;LEVALLOIS PERRET;73 rue du Président Wilson;;Europe/Paris;92300
NANCY;base.fr;scenario.company_agencyfr_center129_res_partner;True;True;fr_FR;NANCY;27 avenue du XX ème Corps;;Europe/Paris;54000
NANCY;base.fr;scenario.user_center_nancy_res_partner;False;False;fr_FR;NANCY;27 avenue du XX Corps;;Europe/Paris;54000
CAVEIRAC;base.fr;scenario.company_agencyfr_center130_res_partner;True;True;fr_FR;MONTPELLIER;5 rue des éperviers;;Europe/Paris;30820
MONTPELLIER;base.fr;scenario.user_center_montpellier_res_partner;False;False;fr_FR;MONTPELLIER;15 Boulevard du Jeu de Paume;;Europe/Paris;34000
NIORT;base.fr;scenario.company_agencyfr_center131_res_partner;True;True;fr_FR;NIORT;6 rue Jean-Baptiste COLBERT;;Europe/Paris;79000
PARIS;base.fr;scenario.company_agencyfr_center133_res_partner;True;True;fr_FR;PARIS 8 HAUSSMANN - GRANDS MAGASINS;98 bis Boulevard Haussmann;;Europe/Paris;75008
PARIS;base.fr;scenario.user_center_paris8_res_partner;False;False;fr_FR;PARIS 8 HAUSSMANN - GRANDS MAGASINS;98 bis Boulevard Haussmann;;Europe/Paris;75008
BASTIA;base.fr;scenario.company_agencyfr_center134_res_partner;True;True;fr_FR;BASTIA;2 rue Gabriel Peri;;Europe/Paris;20020
BASTIA;base.fr;scenario.user_center_bastia_res_partner;False;False;fr_FR;BASTIA;2 rue gabriel PERI;;Europe/Paris;20200
